"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","valueTest","Gradle suite","Mon Apr 27 12:07:06 UTC 2026","skipped","Mon Apr 27 12:07:06 UTC 2026","org.mytests.tests.example.DataTableTests","Gradle test","org.mytests.tests.example.DataTableTests","valueTest"
"","1","rowsAllTest","Gradle suite","Mon Apr 27 12:07:06 UTC 2026","skipped","Mon Apr 27 12:07:06 UTC 2026","org.mytests.tests.example.DataTableTests","Gradle test","org.mytests.tests.example.DataTableTests","rowsAllTest"
"","1","tableChainTest","Gradle suite","Mon Apr 27 12:07:06 UTC 2026","skipped","Mon Apr 27 12:07:06 UTC 2026","org.mytests.tests.example.DataTableTests","Gradle test","org.mytests.tests.example.DataTableTests","tableChainTest"
"","0","hugeTableValidateTest","Gradle suite","Mon Apr 27 12:07:06 UTC 2026","skipped","Mon Apr 27 12:07:06 UTC 2026","org.mytests.tests.example.JDIPerformanceTests","Gradle test","org.mytests.tests.example.JDIPerformanceTests","hugeTableValidateTest"
"","1","rowTableMatcherTest","Gradle suite","Mon Apr 27 12:07:06 UTC 2026","skipped","Mon Apr 27 12:07:06 UTC 2026","org.mytests.tests.example.DataTableTests","Gradle test","org.mytests.tests.example.DataTableTests","rowTableMatcherTest"
"","1","tableParamsTest","Gradle suite","Mon Apr 27 12:07:06 UTC 2026","skipped","Mon Apr 27 12:07:06 UTC 2026","org.mytests.tests.example.DataTableTests","Gradle test","org.mytests.tests.example.DataTableTests","tableParamsTest"
"","0","noRowsTest","Gradle suite","Mon Apr 27 12:07:06 UTC 2026","skipped","Mon Apr 27 12:07:06 UTC 2026","org.mytests.tests.example.DataTableTests","Gradle test","org.mytests.tests.example.DataTableTests","noRowsTest"
"","1","linesFilterTest","Gradle suite","Mon Apr 27 12:07:06 UTC 2026","skipped","Mon Apr 27 12:07:06 UTC 2026","org.mytests.tests.example.DataTableInteractTests","Gradle test","org.mytests.tests.example.DataTableInteractTests","linesFilterTest"
"","1","bigDropdownTest","Gradle suite","Mon Apr 27 12:07:06 UTC 2026","skipped","Mon Apr 27 12:07:06 UTC 2026","org.mytests.tests.example.JDIPerformanceTests","Gradle test","org.mytests.tests.example.JDIPerformanceTests","bigDropdownTest"
"","1","dataFilterTest","Gradle suite","Mon Apr 27 12:07:06 UTC 2026","skipped","Mon Apr 27 12:07:06 UTC 2026","org.mytests.tests.example.DataTableTests","Gradle test","org.mytests.tests.example.DataTableTests","dataFilterTest"
"","0","lineFilterTest","Gradle suite","Mon Apr 27 12:07:06 UTC 2026","skipped","Mon Apr 27 12:07:06 UTC 2026","org.mytests.tests.example.DataTableInteractTests","Gradle test","org.mytests.tests.example.DataTableInteractTests","lineFilterTest"
"","2","lineByIndexTest","Gradle suite","Mon Apr 27 12:07:06 UTC 2026","skipped","Mon Apr 27 12:07:06 UTC 2026","org.mytests.tests.example.DataTableInteractTests","Gradle test","org.mytests.tests.example.DataTableInteractTests","lineByIndexTest"
"","1","dataColumnNameTest","Gradle suite","Mon Apr 27 12:07:06 UTC 2026","skipped","Mon Apr 27 12:07:06 UTC 2026","org.mytests.tests.example.DataTableTests","Gradle test","org.mytests.tests.example.DataTableTests","dataColumnNameTest"
"","0","commonMatchersTest","Gradle suite","Mon Apr 27 12:07:06 UTC 2026","skipped","Mon Apr 27 12:07:06 UTC 2026","org.mytests.tests.example.DataTableTests","Gradle test","org.mytests.tests.example.DataTableTests","commonMatchersTest"
"","0","atLeastTest","Gradle suite","Mon Apr 27 12:07:06 UTC 2026","skipped","Mon Apr 27 12:07:06 UTC 2026","org.mytests.tests.example.DataTableTests","Gradle test","org.mytests.tests.example.DataTableTests","atLeastTest"
"","0","menuTest","Gradle suite","Mon Apr 27 12:07:06 UTC 2026","skipped","Mon Apr 27 12:07:06 UTC 2026","org.mytests.tests.example.MenuTests","Gradle test","org.mytests.tests.example.MenuTests","menuTest"
"","1","customMenuTest","Gradle suite","Mon Apr 27 12:07:06 UTC 2026","skipped","Mon Apr 27 12:07:06 UTC 2026","org.mytests.tests.example.MenuTests","Gradle test","org.mytests.tests.example.MenuTests","customMenuTest"
"","1","fillContactFormTest","Gradle suite","Mon Apr 27 12:07:06 UTC 2026","skipped","Mon Apr 27 12:07:06 UTC 2026","org.mytests.tests.example.FormTests","Gradle test","org.mytests.tests.example.FormTests","fillContactFormTest"
"","1","rowMatcherTest","Gradle suite","Mon Apr 27 12:07:06 UTC 2026","skipped","Mon Apr 27 12:07:06 UTC 2026","org.mytests.tests.example.DataTableTests","Gradle test","org.mytests.tests.example.DataTableTests","rowMatcherTest"
"","0","dataColumnTestIndex","Gradle suite","Mon Apr 27 12:07:06 UTC 2026","skipped","Mon Apr 27 12:07:06 UTC 2026","org.mytests.tests.example.DataTableTests","Gradle test","org.mytests.tests.example.DataTableTests","dataColumnTestIndex"
"","1","rowDataExactMatcherTest","Gradle suite","Mon Apr 27 12:07:06 UTC 2026","skipped","Mon Apr 27 12:07:06 UTC 2026","org.mytests.tests.example.DataTableTests","Gradle test","org.mytests.tests.example.DataTableTests","rowDataExactMatcherTest"
"","1","setUp","Gradle suite","Mon Apr 27 12:07:06 UTC 2026","broken","Mon Apr 27 12:07:06 UTC 2026","org.mytests.tests.example.DataTableInteractTests","Gradle test","org.mytests.tests.example.DataTableInteractTests","setUp"
"","0","hugeTableSearchTest","Gradle suite","Mon Apr 27 12:07:06 UTC 2026","skipped","Mon Apr 27 12:07:06 UTC 2026","org.mytests.tests.example.JDIPerformanceTests","Gradle test","org.mytests.tests.example.JDIPerformanceTests","hugeTableSearchTest"
"","0","longTextTest","Gradle suite","Mon Apr 27 12:07:06 UTC 2026","skipped","Mon Apr 27 12:07:06 UTC 2026","org.mytests.tests.example.JDIPerformanceTests","Gradle test","org.mytests.tests.example.JDIPerformanceTests","longTextTest"
"","1","lineByNameTest","Gradle suite","Mon Apr 27 12:07:06 UTC 2026","skipped","Mon Apr 27 12:07:06 UTC 2026","org.mytests.tests.example.DataTableInteractTests","Gradle test","org.mytests.tests.example.DataTableInteractTests","lineByNameTest"
"","1","exactMatcherTest","Gradle suite","Mon Apr 27 12:07:06 UTC 2026","skipped","Mon Apr 27 12:07:06 UTC 2026","org.mytests.tests.example.DataTableTests","Gradle test","org.mytests.tests.example.DataTableTests","exactMatcherTest"
